,Time,X,Y,Z
0,1731515057.6612298,0.2258163018329104,0.10938096551992887,-0.013246939901437311
1,1731515057.7348402,0.22561097032930605,0.11264478407215786,-0.009540052840080063
2,1731515057.806896,0.22515888456177724,0.11136937458134642,-0.01247736576917654
3,1731515057.8754256,0.2244487733032737,0.11109040448026078,-0.013339441834200327
4,1731515057.9544973,0.22584652631401775,0.10905169900228323,-0.016705295339593227
5,1731515058.0285618,0.22736645042961484,0.10915783806792997,-0.013269921382023254
6,1731515058.0926034,0.2312437903426045,0.1036835027998733,-0.018941179911866893
7,1731515058.1639702,0.2327698360897125,0.10120996143952217,-0.019412345545187733
8,1731515058.2210052,0.23865018649497208,0.0934991669300444,-0.020553796813370193
9,1731515058.2865326,0.23718610545894067,0.09112775583154506,-0.025608620818823473
10,1731515058.3435764,0.24072370467111076,0.08110196605667652,-0.030553821714519282
11,1731515058.4026096,0.2389421715479726,0.07223462303550517,-0.0439486209225329
12,1731515058.4761012,0.2328245473203084,0.059461354759804345,-0.06459568696822006
13,1731515058.5507414,0.22455756890634118,0.06276540694872451,-0.05840296641026601
14,1731515058.621103,0.22279856806730544,0.07140526136016659,-0.04112383555557798
15,1731515058.673278,0.22321327092094023,0.07285597818697812,-0.04297091904632478
16,1731515058.7429929,0.22453583390323603,0.07999330459818783,-0.03199617249399558
17,1731515058.81682,0.22537757259930996,0.08405302014006705,-0.03239622445767404
18,1731515058.9018693,0.22432628202049362,0.09345298868822442,-0.02705118112506698
19,1731515058.9799552,0.2235068299570907,0.09869075630759155,-0.027505672979724328
20,1731515059.0521595,0.2242491220947582,0.10301230468661376,-0.020233301255069797
21,1731515059.1317558,0.22452185834483795,0.1078961467502047,-0.010840018096563377
22,1731515059.198283,0.22510022897198032,0.10873287018808421,-0.010080975453304029
23,1731515059.2673268,0.22614116456555883,0.10769021167234993,-0.013662017637230187
24,1731515059.3294513,0.22467086712318038,0.10815674510170253,-0.013306862964999172
25,1731515059.3976219,0.2247938621706309,0.11064361799597451,-0.0023136427973077613
26,1731515059.460177,0.22432464731789228,0.10989899390409086,-0.003891616884962817
27,1731515059.5216908,0.22457278360193264,0.10723390480118046,-0.009119863160003183
28,1731515059.5875728,0.22385698673230622,0.10833922626182181,-0.006453491919284904
29,1731515059.6612275,0.22495547982277775,0.10897855765420435,-0.007098972659746949
30,1731515059.7297616,0.22542380528847225,0.11072690937816396,-0.002236499838402066
